YNL189W,YPR052C
YBR084C-A,YLR061W
YKR057W,YNL178W
YJL190C,YNL178W
YER102W,YNL178W
YNL178W,YOR096W
YCR031C,YDR064W
YDR064W,YER074W
YDR064W,YLR388W
YCR031C,YLR167W
YER074W,YLR167W
YJR145C,YLR167W
YDR025W,YLR167W
YHL015W,YLR167W
YLR167W,YLR388W
YCR031C,YKR057W
YCR031C,YPR132W
YBR181C,YCR031C
YCR031C,YPL090C
YCR031C,YMR116C
YCR031C,YHL015W
YBL099W,YPL271W
YBL099W,YDL004W
YHR203C,YOL121C
YGL123W,YOL121C
YOL121C,YOR369C
YER074W,YKR057W
YJR145C,YKR057W
YDR025W,YKR057W
YHL015W,YKR057W
YKR057W,YOL040C
YIL069C,YJL190C
YDR450W,YJL190C
YJL190C,YOL040C
YER056C-A,YPR102C
YHR010W,YIL148W
YHR010W,YOR312C
YHR010W,YJR094W-A
YER117W,YHR010W
YHR010W,YPL131W
YBL092W,YHR010W
YDL075W,YPR043W
YBR031W,YDL075W
YDL075W,YKL006W
YDL075W,YLR075W
YKR094C,YPR043W
YER117W,YIL148W
YIL148W,YNL301C
YBR084C-A,YKR094C
YBL092W,YIL148W
YKR094C,YLR075W
YIL148W,YLR325C
YJR094W-A,YOR312C
YER117W,YOR312C
YOL120C,YOR312C
YMR242C,YPL131W
YBL092W,YOR312C
YER056C-A,YMR242C
YER117W,YJR094W-A
YDL133C-A,YPR043W
YGL030W,YPR043W
YHL033C,YPR043W
YJR094W-A,YPL131W
YBL092W,YJR094W-A
YLR075W,YPR043W
YFR031C-A,YNL162W
YHR141C,YNL301C
YBL027W,YHR141C
YDL136W,YHR141C
YDL191W,YHR141C
YDL184C,YNL162W
YHR141C,YLR325C
YLR325C,YNL162W
YML073C,YNL162W
YDL082W,YNL162W
YER074W,YPR132W
YGR118W,YJR145C
YJR145C,YPR132W
YPL090C,YPR132W
YER102W,YGR118W
YOR096W,YPR132W
YGR118W,YLR441C
YLR441C,YPR132W
YMR116C,YPR132W
YHL015W,YPR132W
YGR118W,YOR167C
YER074W,YPL090C
YBL072C,YER074W
YER102W,YIL069C
YIL069C,YLR441C
YER074W,YMR116C
YER074W,YHL015W
YIL069C,YOR167C
YHR203C,YLR287C-A
YHR203C,YOR182C
YDL083C,YLR287C-A
YLR287C-A,YMR143W
YDL083C,YOR182C
YMR143W,YOR182C
YGL123W,YLR287C-A
YGL123W,YOR182C
YLR287C-A,YOR369C
YER102W,YHR203C
YDR450W,YJR145C
YHR203C,YKL156W
YJR145C,YMR116C
YHR203C,YOR293W
YBR181C,YER102W
YDR025W,YPL090C
YBR181C,YOR096W
YOR096W,YPL090C
YLR441C,YPL090C
YMR116C,YPL090C
YHL015W,YPL090C
YER102W,YGL123W
YBL072C,YLR388W
YER102W,YOL040C
YBL087C,YIL018W
YBL087C,YOL120C
YER117W,YPL131W
YBL087C,YBL092W
YBL092W,YER117W
YBL087C,YML073C
YIL018W,YNL301C
YBL027W,YFR031C-A
YDL136W,YFR031C-A
YDL191W,YFR031C-A
YFR031C-A,YGL030W
YFR031C-A,YHL033C
YIL018W,YLR325C
YBR191W,YIL018W
YBR048W,YMR143W
YDR025W,YMR116C
YDR025W,YHL015W
YBR048W,YGL189C
YBR048W,YOR369C
YBL027W,YNL301C
YDL136W,YNL301C
YDL191W,YNL301C
YOL120C,YPL131W
YIL133C,YOL120C
YBR191W,YOL120C
YML026C,YMR143W
YDL083C,YKL156W
YGL189C,YMR143W
YDL083C,YOR293W
YMR143W,YOR293W
YDR450W,YLR441C
YML026C,YOR369C
YDR450W,YOR167C
YBL027W,YDL136W
YBL027W,YDL184C
YBR084C-A,YOR063W
YBL092W,YBR084C-A
YBL027W,YLR325C
YBR084C-A,YBR191W
YDL136W,YDL184C
YBL092W,YDL191W
YDL136W,YLR325C
YDL191W,YLR325C
YDL184C,YGL030W
YDL184C,YHL033C
YDL133C-A,YKL006W
YDL133C-A,YLR075W
YDL082W,YDL133C-A
YBR031W,YIL133C
YBR031W,YER056C-A
YGL030W,YKL006W
YGL030W,YLR075W
YDL082W,YGL030W
YLR185W,YOR063W
YHL033C,YKL006W
YHL033C,YLR075W
YDL082W,YHL033C
YJL140W,YOR210W
YBR154C,YDR045C
YHR143W-A,YPR187W
YGR135W,YLR199C
YGL123W,YKL156W
YGL123W,YOR293W
YBL092W,YPL131W
YJR123W,YOR369C
YIL133C,YML073C
YGR214W,YOR096W
YFR050C,YLR199C
YKL156W,YLR441C
YLR441C,YMR116C
YLR150W,YLR441C
YKL156W,YOR167C
YKL206C,YOL038W
YBL092W,YDL082W
YJL001W,YLR199C
YHR058C,YMR112C
YLR150W,YOR167C
YGL189C,YOR369C
YLR388W,YOL040C
YGR027C,YLR388W
YER056C-A,YLR185W
YOL040C,YOR167C
YBR191W,YML073C
YER025W,YPR041W
YCR031C,YPL081W
YDR025W,YPL081W
YOR096W,YPL081W
YLR441C,YPL081W
YMR116C,YPL081W
YHL015W,YPL081W
YJR048W,YPR191W
YEL024W,YJR048W
Q0105,YFR033C
YDR529C,YGR183C
YDL004W,YJR121W
YGL103W,YJL189W
YGL103W,YLR340W
YGL103W,YPL143W
YGL103W,YPR043W
YFR031C-A,YGL103W
YDL184C,YGL103W
YGL103W,YKL006W
YGL103W,YLR075W
YDL082W,YGL103W
YHR203C,YML024W
YDL083C,YML024W
YGL123W,YML024W
YML024W,YOR167C
YGL031C,YKL180W
YGL031C,YHR141C
YGL031C,YNL301C
YGL031C,YLR325C
YER056C-A,YGL031C
YJL189W,YOL127W
YLR340W,YOL127W
YMR194W,YOL127W
YOL127W,YOR063W
YER056C-A,YOL127W
YJL189W,YMR194W
YJL189W,YLR029C
YHR010W,YJL189W
YJL189W,YNL162W
YER117W,YJL189W
YBL092W,YJL189W
YLR340W,YMR194W
YHR010W,YLR340W
YJR094W-A,YLR340W
YLR340W,YNL162W
YER117W,YLR340W
YBL092W,YLR340W
YGL076C,YHR010W
YGL076C,YIL148W
YGL076C,YOR312C
YGL076C,YJR094W-A
YER117W,YGL076C
YGL076C,YPL131W
YBL092W,YGL076C
YGL147C,YLR344W
YGL147C,YPR102C
YGL147C,YMR242C
YBR084C-A,YGL147C
YGL147C,YLR185W
YBR031W,YKL180W
YKL006W,YKL180W
YFR031C-A,YLR344W
YLR344W,YOL120C
YDL184C,YLR344W
YLR325C,YLR344W
YLR344W,YML073C
YDL082W,YLR344W
YHR010W,YPL143W
YMR242C,YPL143W
YJR094W-A,YPL143W
YER117W,YPL143W
YOL120C,YPL143W
YBL092W,YPL143W
YMR194W,YNL162W
YER056C-A,YMR194W
YFR032C-A,YLR061W
YFR032C-A,YKR094C
YFR032C-A,YOR063W
YER056C-A,YFR032C-A
YLR029C,YNL301C
YLR029C,YLR325C
YER056C-A,YLR029C
YBL087C,YLR061W
YLR061W,YNL301C
YIL133C,YLR061W
YLR061W,YLR325C
YBR191W,YLR061W
YGR118W,YNL178W
YIL069C,YNL178W
YDR450W,YNL178W
YKL156W,YNL178W
YDL083C,YDR064W
YDR064W,YMR143W
YDR064W,YGL189C
YDR064W,YOR369C
YHR203C,YLR167W
YDL083C,YLR167W
YLR167W,YMR143W
YGL123W,YLR167W
YCR031C,YOL121C
YCR031C,YLR287C-A
YCR031C,YOR182C
YCR031C,YDL083C
YCR031C,YKL156W
YCR031C,YOR293W
YEL024W,YPR191W
YGL043W,YJL140W
YGL043W,YOR224C
YGL043W,YOL005C
YGL043W,YHR143W-A
YER074W,YOL121C
YJR145C,YOL121C
YDR025W,YOL121C
YLR441C,YOL121C
YMR116C,YOL121C
YHL015W,YOL121C
YHR203C,YKR057W
YDL083C,YKR057W
YKR057W,YLR441C
YKR057W,YOR167C
YJL190C,YJR145C
YER102W,YJL190C
YJL190C,YLR441C
YJL190C,YOR167C
YFR031C-A,YPR102C
YNL301C,YPR102C
YDL184C,YPR102C
YPL131W,YPR102C
YLR325C,YPR102C
YML073C,YPR102C
YDL082W,YPR102C
YDL075W,YHR010W
YHR010W,YPR043W
YDL133C-A,YHR010W
YGL030W,YHR010W
YHL033C,YHR010W
YHR010W,YKL006W
YHR010W,YLR075W
YDL075W,YIL148W
YDL075W,YOR312C
YDL075W,YJR094W-A
YDL075W,YER117W
YBL027W,YDL075W
YDL075W,YDL191W
YDL075W,YPL131W
YDL075W,YDL082W
YKR094C,YOR312C
YBL087C,YKR094C
YDL133C-A,YIL148W
YGL030W,YIL148W
YHL033C,YIL148W
YKR094C,YPL131W
YIL133C,YKR094C
YBR191W,YKR094C
YMR242C,YPR043W
YFR031C-A,YMR242C
YDL184C,YMR242C
YDL133C-A,YOR312C
YGL030W,YOR312C
YHL033C,YOR312C
YLR075W,YOR312C
YLR325C,YMR242C
YML073C,YMR242C
YDL082W,YMR242C
YER117W,YPR043W
YOL120C,YPR043W
YDL133C-A,YJR094W-A
YGL030W,YJR094W-A
YHL033C,YJR094W-A
YJR094W-A,YKL006W
YBL092W,YPR043W
YJR094W-A,YLR075W
YNL162W,YNL301C
YBR031W,YHR141C
YHR141C,YIL133C
YER056C-A,YNL162W
YGR118W,YIL069C
YGR118W,YHR203C
YHR203C,YPR132W
YDL083C,YPR132W
YMR143W,YPR132W
YDR450W,YGR118W
YGL123W,YPR132W
YGR118W,YOL040C
YOR293W,YPR132W
YER074W,YLR287C-A
YER074W,YOR182C
YBR048W,YER074W
YDR450W,YIL069C
YER074W,YKL156W
YIL069C,YOL040C
YER074W,YOR293W
YJR145C,YLR287C-A
YJR145C,YOR182C
YDR025W,YLR287C-A
YDR025W,YOR182C
YOR096W,YOR182C
YLR441C,YOR182C
YMR116C,YOR182C
YHL015W,YLR287C-A
YHL015W,YOR182C
YLR287C-A,YLR388W
YER102W,YJR145C
YDR450W,YHR203C
YJR145C,YKL156W
YHR203C,YMR116C
YJR145C,YOR293W
YDL083C,YPL090C
YMR143W,YPL090C
YBR181C,YML026C
YGL123W,YPL090C
YBR181C,YJR123W
YBR181C,YGR214W
YBR181C,YLR150W
YOR293W,YPL090C
YBL072C,YMR143W
YER102W,YLR441C
YBL072C,YGL189C
YBL072C,YOR369C
YER102W,YGR027C
YER102W,YOR167C
YDL133C-A,YER117W
YBL087C,YOR063W
YER117W,YKL006W
YER117W,YLR075W
YBL087C,YBR191W
YBR084C-A,YIL018W
YBR031W,YFR031C-A
YIL018W,YIL133C
YFR031C-A,YLR185W
YDR025W,YKL156W
YBR048W,YLR388W
YDR025W,YOR293W
YBR084C-A,YOL120C
YBR031W,YNL301C
YKL006W,YNL301C
YLR185W,YOL120C
YGR027C,YMR143W
YDR450W,YGL123W
YGR214W,YML026C
YBL027W,YIL133C
YBL027W,YER056C-A
YBR084C-A,YML073C
YDL133C-A,YDL191W
YBR031W,YDL136W
YDL136W,YIL133C
YDL191W,YIL133C
YDL136W,YER056C-A
YDL191W,YER056C-A
YBR031W,YDL184C
YDL133C-A,YPL131W
YDL184C,YLR185W
YBL092W,YBR031W
YBR031W,YLR325C
YGL030W,YPL131W
YER056C-A,YGL030W
YIL133C,YOR063W
YBR191W,YOR063W
YHL033C,YPL131W
YER056C-A,YHL033C
YJL140W,YPR086W
YGR135W,YKL206C
YBL041W,YML092C
YGL123W,YMR116C
YGL123W,YHL015W
YLR075W,YPL131W
YGR214W,YJR123W
YJR123W,YLR388W
YOR096W,YOR293W
YKL206C,YPR103W
YFR050C,YKL206C
YGR214W,YLR150W
YLR388W,YLR441C
YLR441C,YOR293W
YHL015W,YKL156W
YKL156W,YOL040C
YJL001W,YKL206C
YBL092W,YKL006W
YKL006W,YLR325C
YMR116C,YOR293W
YBL092W,YLR075W
YHL015W,YOR293W
YGL189C,YLR388W
YLR388W,YOR167C
YGR027C,YOR369C
YLR185W,YML073C
YDL082W,YLR185W
YOL121C,YPL081W
YBR048W,YPL081W
YML026C,YPL081W
YJR123W,YPL081W
YGL189C,YPL081W
YFR033C,YGR183C
YGL103W,YKL180W
YFR032C-A,YGL103W
YGL103W,YHR141C
YBL087C,YGL103W
YGL103W,YNL301C
YGL103W,YLR325C
YBR191W,YGL103W
YDR064W,YML024W
YLR167W,YML024W
YBL072C,YML024W
YML024W,YML026C
YGR027C,YML024W
YGL031C,YJL189W
YGL031C,YLR340W
YGL031C,YGL076C
YGL031C,YPL143W
YGL031C,YPR043W
YBR084C-A,YGL031C
YGL031C,YKL006W
YGL031C,YLR075W
YLR344W,YOL127W
YOL127W,YPR102C
YBR084C-A,YOL127W
YLR185W,YOL127W
YJL189W,YOL120C
YBR031W,YJL189W
YJL189W,YML073C
YLR029C,YLR340W
YLR061W,YLR340W
YLR340W,YOL120C
YBR031W,YLR340W
YKL006W,YLR340W
YLR340W,YML073C
YBR031W,YGL076C
YGL076C,YIL133C
YGL147C,YLR061W
YGL147C,YKR094C
YGL147C,YOR063W
YER056C-A,YGL147C
YHR010W,YKL180W
YKL180W,YOR312C
YJR094W-A,YKL180W
YER117W,YKL180W
YKL180W,YPL131W
YBL092W,YKL180W
YLR344W,YMR194W
YFR032C-A,YLR344W
YLR344W,YNL162W
YBL087C,YLR344W
YIL133C,YLR344W
YBR191W,YLR344W
YLR029C,YPL143W
YLR061W,YPL143W
YPL143W,YPR043W
YNL162W,YPL143W
YBR031W,YPL143W
YKL006W,YPL143W
YMR194W,YOL120C
YBR084C-A,YMR194W
YLR185W,YMR194W
YFR032C-A,YPR102C
YFR032C-A,YMR242C
YBR084C-A,YFR032C-A
YFR032C-A,YLR185W
YLR029C,YPR043W
YBR084C-A,YLR029C
YLR029C,YLR075W
YLR061W,YPR043W
YFR031C-A,YLR061W
YDL184C,YLR061W
YLR061W,YLR075W
YDL082W,YLR061W
YNL178W,YOR167C
YDR064W,YLR167W
YDR064W,YKR057W
YDR064W,YPR132W
YDR064W,YPL090C
YBL072C,YDR064W
YDR064W,YMR116C
YDR064W,YHL015W
YLR167W,YPR132W
YLR167W,YPL090C
YBL072C,YLR167W
YLR167W,YMR116C
YGR027C,YLR167W
YCR031C,YER074W
YCR031C,YDR025W
YCR031C,YLR388W
YLR287C-A,YOL121C
YOL121C,YOR182C
YBR048W,YOL121C
YJR123W,YOL121C
YGL189C,YOL121C
YOL121C,YOR293W
YBL072C,YKR057W
YKR057W,YML026C
YKR057W,YLR150W
YGR027C,YKR057W
YBR181C,YJL190C
YJL190C,YML026C
YJL190C,YJR123W
YGR214W,YJL190C
YJL190C,YLR150W
YBL087C,YPR102C
YOR063W,YPR102C
YIL133C,YPR102C
YBR191W,YPR102C
YHR010W,YHR141C
YHR010W,YNL301C
YBL027W,YHR010W
YDL136W,YHR010W
YDL191W,YHR010W
YHR010W,YLR325C
YDL075W,YIL133C
YDL075W,YER056C-A
YIL148W,YOR312C
YIL148W,YJR094W-A
YHR141C,YIL148W
YIL018W,YIL148W
YFR031C-A,YKR094C
YBL027W,YIL148W
YDL136W,YIL148W
YDL191W,YIL148W
YDL184C,YKR094C
YIL148W,YPL131W
YDL082W,YKR094C
YHR141C,YOR312C
YBL087C,YMR242C
YIL018W,YOR312C
YMR242C,YNL301C
YBL027W,YOR312C
YDL136W,YOR312C
YDL191W,YOR312C
YIL133C,YMR242C
YBR191W,YMR242C
YHR141C,YJR094W-A
YNL162W,YPR043W
YIL018W,YJR094W-A
YJR094W-A,YNL301C
YBL027W,YJR094W-A
YDL136W,YJR094W-A
YDL191W,YJR094W-A
YBR031W,YPR043W
YKL006W,YPR043W
YJR094W-A,YLR325C
YER117W,YHR141C
YBR084C-A,YNL162W
YHR141C,YPL131W
YBL092W,YHR141C
YLR185W,YNL162W
YBL072C,YPR132W
YGR118W,YOR096W
YGR027C,YPR132W
YDR025W,YER074W
YIL069C,YOR096W
YER074W,YLR388W
YBR048W,YLR287C-A
YBR048W,YOR182C
YML026C,YOR182C
YJR123W,YLR287C-A
YJR123W,YOR182C
YGL189C,YLR287C-A
YGL189C,YOR182C
YLR287C-A,YOR293W
YHR203C,YMR143W
YGR214W,YJR145C
YJR145C,YLR388W
YHR203C,YOR369C
YBL072C,YPL090C
YBR181C,YLR441C
YBR181C,YGR027C
YGR027C,YPL090C
YBR181C,YOR167C
YDR450W,YER102W
YER102W,YML026C
YER102W,YJR123W
YER102W,YGR214W
YBL072C,YMR116C
YBL072C,YHL015W
YER102W,YLR150W
YER117W,YFR031C-A
YER117W,YNL301C
YBL027W,YER117W
YDL136W,YER117W
YDL191W,YER117W
YBL087C,YLR185W
YER117W,YLR325C
YFR031C-A,YOR063W
YIL018W,YPL131W
YBL092W,YFR031C-A
YER056C-A,YIL018W
YBR048W,YDL083C
YBR048W,YKL156W
YDR025W,YLR388W
YBR048W,YOR293W
YNL301C,YOR063W
YBL092W,YNL301C
YER056C-A,YOL120C
YGL123W,YMR143W
YDL083C,YGL189C
YDL083C,YOR369C
YMR143W,YOR369C
YDR450W,YOR096W
YLR388W,YML026C
YML026C,YOR293W
YBL027W,YDL191W
YBR084C-A,YDL133C-A
YBR084C-A,YGL030W
YBR084C-A,YHL033C
YBL027W,YPL131W
YBL027W,YDL082W
YDL136W,YPL131W
YDL191W,YPL131W
YBL092W,YDL136W
YDL184C,YOR063W
YDL133C-A,YIL133C
YBL092W,YDL184C
YDL133C-A,YER056C-A
YBR031W,YKL006W
YBR031W,YLR075W
YGL030W,YIL133C
YLR325C,YOR063W
YML073C,YOR063W
YDL082W,YOR063W
YBR088C,YJR068W
YHL033C,YIL133C
YJL140W,YOR224C
YJL140W,YOL005C
YOR224C,YPR187W
YOR210W,YPR187W
YOL005C,YPR187W
YOR157C,YOR362C
YBL041W,YGR135W
YMR314W,YOR157C
YGL123W,YGL189C
YGL123W,YOR369C
YJR123W,YKL156W
YJR123W,YOR293W
YIL133C,YLR185W
YLR150W,YOR096W
YOL040C,YOR096W
YLR199C,YPR103W
YFR050C,YGR253C
YGR214W,YLR441C
YGR214W,YOR167C
YHR041C,YMR112C
YGL189C,YKL156W
YKL006W,YLR075W
YGR027C,YMR116C
YBL092W,YLR325C
YGR027C,YHL015W
YGL189C,YOR293W
YHR072W-A,YIL104C
YBR191W,YLR185W
YER056C-A,YML073C
